"initial_alias","converted_alias","name","description","namespace"
"KRIT1","ENSG00000001631","KRIT1","KRIT1 ankyrin repeat containing [Source:HGNC Symbol;Acc:HGNC:1573]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RAD52","ENSG00000002016","RAD52","RAD52 homolog, DNA repair protein [Source:HGNC Symbol;Acc:HGNC:9824]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAD","ENSG00000002330","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAP3","ENSG00000002549","LAP3","leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:18449]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD99","ENSG00000002586","CD99","CD99 molecule (Xg blood group) [Source:HGNC Symbol;Acc:HGNC:7082]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HS3ST1","ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:5194]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AOC1","ENSG00000002726","AOC1","amine oxidase copper containing 1 [Source:HGNC Symbol;Acc:HGNC:80]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WNT16","ENSG00000002745","WNT16","Wnt family member 16 [Source:HGNC Symbol;Acc:HGNC:16267]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HECW1","ENSG00000002746","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAD1L1","ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LASP1","ENSG00000002834","LASP1","LIM and SH3 protein 1 [Source:HGNC Symbol;Acc:HGNC:6513]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SNX11","ENSG00000002919","SNX11","sorting nexin 11 [Source:HGNC Symbol;Acc:HGNC:14975]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM176A","ENSG00000002933","TMEM176A","transmembrane protein 176A [Source:HGNC Symbol;Acc:HGNC:24930]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"M6PR","ENSG00000003056","M6PR","mannose-6-phosphate receptor, cation dependent [Source:HGNC Symbol;Acc:HGNC:6752]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KLHL13","ENSG00000003096","KLHL13","kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CYP26B1","ENSG00000003137","CYP26B1","cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ICA1","ENSG00000003147","ICA1","islet cell autoantigen 1 [Source:HGNC Symbol;Acc:HGNC:5343]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DBNDD1","ENSG00000003249","DBNDD1","dysbindin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28455]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ALS2","ENSG00000003393","ALS2","alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CASP10","ENSG00000003400","CASP10","caspase 10 [Source:HGNC Symbol;Acc:HGNC:1500]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CFLAR","ENSG00000003402","CFLAR","CASP8 and FADD like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TFPI","ENSG00000003436","TFPI","tissue factor pathway inhibitor [Source:HGNC Symbol;Acc:HGNC:11760]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFAF7","ENSG00000003509","NDUFAF7","NADH:ubiquinone oxidoreductase complex assembly factor 7 [Source:HGNC Symbol;Acc:HGNC:28816]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBM5","ENSG00000003756","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MTMR7","ENSG00000003987","MTMR7","myotubularin related protein 7 [Source:HGNC Symbol;Acc:HGNC:7454]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC7A2","ENSG00000003989","SLC7A2","solute carrier family 7 member 2 [Source:HGNC Symbol;Acc:HGNC:11060]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARF5","ENSG00000004059","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SARM1","ENSG00000004139","SARM1","sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLDIP2","ENSG00000004142","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PLXND1","ENSG00000004399","PLXND1","plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AK2","ENSG00000004455","AK2","adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CD38","ENSG00000004468","CD38","CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FKBP4","ENSG00000004478","FKBP4","FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FKBP4","ENSG00000204315","FKBPL","FKBP prolyl isomerase like [Source:HGNC Symbol;Acc:HGNC:13949]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KDM1A","ENSG00000004487","KDM1A","lysine demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RBM6","ENSG00000004534","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CAMKK1","ENSG00000004660","CAMKK1","calcium/calmodulin dependent protein kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:1469]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RECQL","ENSG00000004700","RECQL","RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:9948]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"VPS50","ENSG00000004766","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HSPB6","ENSG00000004776","HSPB6","heat shock protein family B (small) member 6 [Source:HGNC Symbol;Acc:HGNC:26511]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARHGAP33","ENSG00000004777","ARHGAP33","Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"NDUFAB1","ENSG00000004779","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDK4","ENSG00000004799","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC22A16","ENSG00000004809","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZMYND10","ENSG00000004838","ZMYND10","zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB5","ENSG00000004846","ABCB5","ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ARX","ENSG00000004848","ARX","aristaless related homeobox [Source:HGNC Symbol;Acc:HGNC:18060]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A13","ENSG00000004864","SLC25A13","solute carrier family 25 member 13 [Source:HGNC Symbol;Acc:HGNC:10983]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ST7","ENSG00000004866","ST7","suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CDC27","ENSG00000004897","CDC27","cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC4A1","ENSG00000004939","SLC4A1","solute carrier family 4 member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CALCR","ENSG00000004948","CALCR","calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HCCS","ENSG00000004961","HCCS","holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DVL2","ENSG00000004975","DVL2","dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRSS22","ENSG00000005001","PRSS22","serine protease 22 [Source:HGNC Symbol;Acc:HGNC:14368]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"UPF1","ENSG00000005007","UPF1","UPF1 RNA helicase and ATPase [Source:HGNC Symbol;Acc:HGNC:9962]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SKAP2","ENSG00000005020","SKAP2","src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SLC25A5","ENSG00000005022","SLC25A5","solute carrier family 25 member 5 [Source:HGNC Symbol;Acc:HGNC:10991]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MCUB","ENSG00000005059","MCUB","mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"HOXA11","ENSG00000005073","HOXA11","homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"POLR2J","ENSG00000005075","POLR2J","RNA polymerase II subunit J [Source:HGNC Symbol;Acc:HGNC:9197]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DHX33","ENSG00000005100","DHX33","DEAH-box helicase 33 [Source:HGNC Symbol;Acc:HGNC:16718]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MEOX1","ENSG00000005102","MEOX1","mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"THSD7A","ENSG00000005108","THSD7A","thrombospondin type 1 domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LIG3","ENSG00000005156","LIG3","DNA ligase 3 [Source:HGNC Symbol;Acc:HGNC:6600]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RPAP3","ENSG00000005175","RPAP3","RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ACSM3","ENSG00000005187","ACSM3","acyl-CoA synthetase medium chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REXO5","ENSG00000005189","REXO5","RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CIAPIN1","ENSG00000005194","CIAPIN1","cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPPL2B","ENSG00000005206","SPPL2B","signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FAM214B","ENSG00000005238","ATOSB","atos homolog B [Source:HGNC Symbol;Acc:HGNC:25666]","UNIPROT_GN"
"COPZ2","ENSG00000005243","COPZ2","COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PRKAR2B","ENSG00000005249","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MSL3","ENSG00000005302","MSL3","MSL complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:7370]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CREBBP","ENSG00000005339","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TSPOAP1","ENSG00000005379","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MPO","ENSG00000005381","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PON1","ENSG00000005421","PON1","paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GCFC2","ENSG00000005436","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"WDR54","ENSG00000005448","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CROT","ENSG00000005469","CROT","carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB4","ENSG00000005471","ABCB4","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KMT2E","ENSG00000005483","KMT2E","lysine methyltransferase 2E (inactive) [Source:HGNC Symbol;Acc:HGNC:18541]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RHBDD2","ENSG00000005486","RHBDD2","rhomboid domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23082]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SOX8","ENSG00000005513","SOX8","SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"IBTK","ENSG00000005700","IBTK","inhibitor of Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF195","ENSG00000005801","ZNF195","zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MYCBP2","ENSG00000005810","MYCBP2","MYC binding protein 2 [Source:HGNC Symbol;Acc:HGNC:23386]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"FBXL3","ENSG00000005812","FBXL3","F-box and leucine rich repeat protein 3 [Source:HGNC Symbol;Acc:HGNC:13599]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGAL","ENSG00000005844","ITGAL","integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"PDK2","ENSG00000005882","PDK2","pyruvate dehydrogenase kinase 2 [Source:HGNC Symbol;Acc:HGNC:8810]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA3","ENSG00000005884","ITGA3","integrin subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:6139]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZFX","ENSG00000005889","ZFX","zinc finger protein X-linked [Source:HGNC Symbol;Acc:HGNC:12869]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"LAMP2","ENSG00000005893","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ITGA2B","ENSG00000005961","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ASB4","ENSG00000005981","ASB4","ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"GDE1","ENSG00000006007","GDE1","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"REX1BD","ENSG00000006015","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CRLF1","ENSG00000006016","CRLF1","cytokine receptor like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"OSBPL7","ENSG00000006025","OSBPL7","oxysterol binding protein like 7 [Source:HGNC Symbol;Acc:HGNC:16387]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM98","ENSG00000006042","TMEM98","transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"YBX2","ENSG00000006047","YBX2","Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"KRT33A","ENSG00000006059","KRT33A","keratin 33A [Source:HGNC Symbol;Acc:HGNC:6450]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K14","ENSG00000006062","MAP3K14","mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCC8","ENSG00000006071","ABCC8","ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CACNG3","ENSG00000006116","CACNG3","calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TMEM132A","ENSG00000006118","TMEM132A","transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AP2B1","ENSG00000006125","AP2B1","adaptor related protein complex 2 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:563]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TAC1","ENSG00000006128","TAC1","tachykinin precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF263","ENSG00000006194","ZNF263","zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ZNF263","ENSG00000290183","None","novel protein","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CX3CL1","ENSG00000006210","CX3CL1","C-X3-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"SPATA20","ENSG00000006282","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"CACNA1G","ENSG00000006283","CACNA1G","calcium voltage-gated channel subunit alpha1 G [Source:HGNC Symbol;Acc:HGNC:1394]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"TNFRSF12A","ENSG00000006327","TNFRSF12A","TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"DLX6","ENSG00000006377","DLX6","distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"MAP3K9","ENSG00000006432","MAP3K9","mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"RALA","ENSG00000006451","RALA","RAS like proto-oncogene A [Source:HGNC Symbol;Acc:HGNC:9839]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"BAIAP2L1","ENSG00000006453","BAIAP2L1","BAR/IMD domain containing adaptor protein 2 like 1 [Source:HGNC Symbol;Acc:HGNC:21649]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
